PIR Sensor Frequency,ulrasonic1,ulrasonic2,microphone1,microphone2,microphone3,microphone4,microphone5,Turbidity,Obstacle
511.24,421.71,419.86,9794.72,-120.23,150.54,156.0,509.29,19.0,Mine
511.24,421.41,10000.0,127.08,9801.56,9801.56,157.0,-453.57,4.0,Mine
511.24,420.31,419.58,127.08,9801.56,9941.35,157.0,-453.57,15.0,Mine
511.24,420.44,419.7,128.05,9801.56,152.49,157.0,-453.57,28.0,Mine
511.24,420.44,419.74,127.08,9800.59,150.54,157.0,-454.55,4.0,Mine
511.24,420.43,419.69,128.05,9801.56,153.47,157.0,-453.57,13.0,Mine
511.24,420.32,419.6,128.05,9800.59,152.49,158.0,-453.57,13.0,Mine
511.24,420.34,419.58,128.05,9801.56,152.49,157.0,-454.55,11.0,Mine
511.24,420.32,419.64,129.03,9801.56,152.49,156.0,-453.57,10.0,Mine
511.24,420.44,419.74,129.03,9801.56,152.49,156.0,-454.55,6.0,Mine
511.24,420.43,419.69,128.05,9801.56,152.49,156.0,-453.57,13.0,Mine
511.24,420.34,419.58,128.05,9801.56,152.49,157.0,-453.57,3.0,Mine
511.24,420.32,419.62,127.08,9801.56,152.49,156.0,-454.55,19.0,Mine
511.24,420.34,419.64,129.03,9801.56,9961.88,157.0,-454.55,9.0,Mine
511.24,420.41,419.69,130.01,9800.59,9812.32,157.0,-453.57,16.0,Mine
511.24,420.34,419.65,128.05,9800.59,9799.61,157.0,-454.55,1.0,Mine
511.24,420.34,419.6,128.05,-182.8,9798.63,157.0,-454.55,18.0,Mine
511.24,420.34,419.58,130.01,458.46,9798.63,157.0,-454.55,3.0,Mine
511.24,420.44,419.7,130.01,492.67,9799.61,157.0,-454.55,13.0,Mine
511.24,420.44,419.74,129.03,484.85,9799.61,156.0,-454.55,2.0,Mine
511.24,420.34,419.57,130.01,24.44,9799.61,157.0,-453.57,13.0,Mine
511.24,420.34,419.57,128.05,10021.51,9799.61,157.0,-454.55,11.0,Mine
